színek,group
angolzöld,Gray
antracitszürke,Gray
aranyszín,Brown
barackszín,White
barna,Brown
bordó,Gray
bronzszín,Gray
bézs,White
csontszín,White
drapp,Brown
ezüstszín,Gray
fahéjbarna,Brown
fehér,White
fekete,Gray
fukszia,Pink
halvány rózsaszín,White
halványsárga,Yellow
halványzöld,White
homokbarna,White
indigókék,Purple
karamellbarna,Brown
katonai zöld,Green
khaki,Brown
királykék,Blue
koptatott fekete,Gray
koptatott piros,Red
korallszín,Red
krémszín,Gray
kék,Blue
lazacszín,Red
levendulakék,Blue
lila,Purple
lime-zöld,Yellow
mandarinszín,Red
melange kék,Blue
melange rózsaszín,Gray
melange szürke,Gray
mentazöld,Green
mustársárga,Yellow
narancssárga,Yellow
okkersárga,Brown
olívazöld,Yellow
orchidea rózsaszín,Pink
padlizsánlila,Gray
pasztell rózsaszín,White
pasztellkék,White
pasztellrózsaszín,White
piros,Red
pisztáciazöld,Gray
páfrányzöld,Gray
púder rózsaszín,Pink
púderkék,Gray
púderlila,Purple
rózsaszín,Pink
spárgazöld,Brown
szalmasárga,White
színes,Colorful
szürke,Gray
sáfránysárga,Yellow
sárga,Yellow
sötétbarna,Brown
sötétkék,Blue
sötétpiros,Brown
sötétszürke,Gray
tengerészkék,Gray
tevebarna,Brown
téglavörös,Brown
tópbarna,Brown
többszínű,Colorful
törtfehér,White
türkiz,Green
világoskék,Gray
világosszürke,Gray
zöld,Gray
égszínkék,Gray
élénk rózsaszín,Red
élénkpiros,Red
