genderENG,classificationENG,subclassificationENG,genderHUN,classificationHUN,subclassificationHUN,productId,similarProductsLink,mainProductsLink,productName,priceHUF,priceEUR,brand,stockStatusENG,images,color,catalogId,productDetails
women,dress,dress,női,ruha,ruha,2440415,https://www.fashiondays.hu/v/2440415/n%C5%91i-/ruh%C3%A1zat?productSlug=ema-kiv%C3%A1gott-v%C3%A1ll%C3%BA-ruha-n%C5%91i-diesel&tagId=1,https://www.fashiondays.hu/p/ema-kiv%C3%A1gott-v%C3%A1ll%C3%BA-ruha-n%C5%91i-diesel-p2440415-1/,Ema kivágott vállú ruha,35099,98.28,Diesel,limited_quantity,https://fdcdn.akamaized.net/m/780x1132/products/27714/27713484/images/res_fcab13f48d2eefa00a21c6f95064caf7.jpg?s=vmfbOZiNF4pE https://fdcdn.akamaized.net/m/780x1132/products/27714/27713484/images/res_05bf89f02f0e4f16a752f02e5c738fa4.jpg?s=Xl0otTnuJYf6 https://fdcdn.akamaized.net/m/780x1132/products/27714/27713484/images/res_ddd195dfcf1e2596a3c8674f61b37042.jpg?s=S1sox4_FAiu_ https://fdcdn.akamaized.net/m/780x1132/products/27714/27713484/images/res_fb100cc052e7082db2d9c8e39ac67d93.jpg?s=0g_uEVuN6ga0,fekete,00SM7D-0JASE-9XX,Leírás Szín: fekete Stílus: hétköznapi Anyag: pamut Minta: nincs Szabás: egyenes Hossza: mini Nyakkivágás: kerek Ujjak hossza: hosszú Zsebek: kenguruzseb Összetétel Anyag: 100% pamut Modell információ: A modell S-es méretű terméket visel. Méretei: 176 cm$ mellbőség: 86 cm$ derékbőség: 65 cm$ csípő: 90 cm Termékszám 00SM7D-0JASE-9XX
women,dress,dress,női,ruha,ruha,2684903,https://www.fashiondays.hu/v/2684903/n%C5%91i-/ruh%C3%A1zat?productSlug=mint%C3%A1s-ingruha-n%C5%91i-sense&tagId=1,https://www.fashiondays.hu/p/mint%C3%A1s-ingruha-n%C5%91i-sense-p2684903-1/,Mintás ingruha,9399,26.32,Sense,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30001/30000475/images/res_6e768ec428a14a24819976c42a2d8f6a.jpg?s=OFdMVRn9vdrB https://fdcdn.akamaized.net/m/780x1132/products/30001/30000475/images/res_b9600a108b857ff0e87b7790cfe8e8b9.jpg?s=OU5K1VHlauKf https://fdcdn.akamaized.net/m/780x1132/products/30001/30000475/images/res_88193c43c1549583a5a5ef8e83645774.jpg?s=jw9HmvZ6HrTz,fekete?krémszín,CA4823-CREM,Leírás Szín: fekete$ krémszín Stílus: hétköznapi Anyag: szintetikus anyag$ viszkóz Minta: van Szabás: bővülő Hossza: midi Nyakkivágás: V-hasítékkal Ujjak hossza: rövid Részletek: levehető megkötő a derékrészen Rögzítés: gombos Összetétel Anyag: 55% viszkóz$ 45% cupro Bélés: 100% viszkóz Termékszám CA4823-CREM
women,dress,dress,női,ruha,ruha,2678749,https://www.fashiondays.hu/v/2678749/n%C5%91i-/ruh%C3%A1zat?productSlug=vir%C3%A1gmint%C3%A1s-lentartalm%C3%BA-ruha-n%C5%91i-gap&tagId=1,https://www.fashiondays.hu/p/vir%C3%A1gmint%C3%A1s-lentartalm%C3%BA-ruha-n%C5%91i-gap-p2678749-1/,Virágmintás lentartalmú ruha,15399,43.12,GAP,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/29809/29808732/images/res_d8c4aa6a7664a54f8ccbff0589cb2cee.jpg?s=Y9NyKhML4ahc https://fdcdn.akamaized.net/m/780x1132/products/29809/29808732/images/res_94aa5ea3115e109c98295f63e7067c5c.jpg?s=iR0yTTxJwqjZ https://fdcdn.akamaized.net/m/780x1132/products/29809/29808732/images/res_70a009ba69a4a39053eda7b11916fb49.jpg?s=5YgQFqekU43_ https://fdcdn.akamaized.net/m/780x1132/products/29809/29808732/images/res_8ad568550c913bb2460c1b2c91738a1a.jpg?s=QCIhwkphEjea,fehér,000541670-094,Leírás Szín: fehér Stílus: hétköznapi Anyag: pamut$ lenvászon Minta: virágminta Szabás: bővülő Hossza: mini Nyakkivágás: V alakú Ujjak hossza: rövid Rögzítés: gombos Összetétel Anyag: 55% len$ 45% pamut Bélés: 100% pamut Modellinformáció A modell 4-es (=S) méretű terméket visel$ amerikai méretezés szerint. Méretei: magasság: 180 cm$ mellbőség: 86 cm$ derékbőség: 65 cm$ csípő: 94 cm Termékszám 000541670-094
women,dress,dress,női,ruha,ruha,2678670,https://www.fashiondays.hu/v/2678670/n%C5%91i-/ruh%C3%A1zat?productSlug=v-nyak%C3%BA-vir%C3%A1gmint%C3%A1s-ruha-n%C5%91i-gap&tagId=1,https://www.fashiondays.hu/p/v-nyak%C3%BA-vir%C3%A1gmint%C3%A1s-ruha-n%C5%91i-gap-p2678670-1/,V-nyakú virágmintás ruha,11499,32.2,GAP,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/29809/29808780/images/res_e754fbc0f5e7b4d4da3194ad5529a057.jpg?s=3BcH5w1kpnux https://fdcdn.akamaized.net/m/780x1132/products/29809/29808780/images/res_c26235fbaed46f1452434a38dd7bff3f.jpg?s=cb1VypEQdIf3 https://fdcdn.akamaized.net/m/780x1132/products/29809/29808780/images/res_fbe81a0a967a457cef8bf95e503a6304.jpg?s=AhMRjVB4SWMV https://fdcdn.akamaized.net/m/780x1132/products/29809/29808780/images/res_55257913725cf55ff0fbe7f4c4ef466c.jpg?s=Cp0cYvh0dBHK,rózsaszín,000541675-193,Leírás Szín: rózsaszín Stílus: hétköznapi Anyag: viszkóz Minta: virágminta Szabás: bővülő Hossza: mini Nyakkivágás: V alakú Pántok: 2 vékony Ujjak hossza: ujjatlan Összetétel Anyag: 100% viszkóz Bélés: 100% poliészter Modellinformáció A modell 4-es (=S) méretű terméket visel$ amerikai méretezés szerint. Méretei: magasság: 180 cm$ mellbőség: 86 cm$ derékbőség: 65 cm$ csípő: 94 cm Termékszám 000541675-193
women,dress,dress,női,ruha,ruha,2685107,https://www.fashiondays.hu/v/2685107/n%C5%91i-/ruh%C3%A1zat?productSlug=%C3%81tlapol%C3%B3s-miniruha-n%C5%91i-sense&tagId=1,https://www.fashiondays.hu/p/%C3%81tlapol%C3%B3s-miniruha-n%C5%91i-sense-p2685107-1/,Átlapolós miniruha,4399,12.32,Sense,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30001/30000498/images/res_e303cb3a99aa9469f142776c0934db77.jpg?s=kFFnfe2sgp9Z https://fdcdn.akamaized.net/m/780x1132/products/30001/30000498/images/res_6d26a7b93d510f9ccaf96ed6bf8a2fa5.jpg?s=xX0G38-Nt9Nn https://fdcdn.akamaized.net/m/780x1132/products/30001/30000498/images/res_718199c4564d2b33e562428f69c07a87.jpg?s=-Jov2cYQEmMW,rózsaszín?piros,CA4868-ROZ,Leírás Szín: rózsaszín$ piros Stílus: hétköznapi Anyag: viszkóz$ szintetikus szálak Minta: nincs Fazon: átlapolós Hossza: mini Nyakkivágás: átlapolt Ujjak típusa: ejtett Ujjak hossza: rövid Részletek: rugalmas derékrész Összetétel Anyag: 95% viszkóz$ 5% elasztán Termékszám CA4868-ROZ
women,dress,dress,női,ruha,ruha,2685097,https://www.fashiondays.hu/v/2685097/n%C5%91i-/ruh%C3%A1zat?productSlug=%C3%81tlapol%C3%B3s-miniruha-n%C5%91i-sense&tagId=1,https://www.fashiondays.hu/p/%C3%81tlapol%C3%B3s-miniruha-n%C5%91i-sense-p2685097-1/,Átlapolós miniruha,4399,12.32,Sense,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30001/30000504/images/res_b7cdba6854f717ad453e37c3ca385dec.jpg?s=DgFhf4In504Q https://fdcdn.akamaized.net/m/780x1132/products/30001/30000504/images/res_64df3898af1b1600c0bc7b9683901618.jpg?s=CgZwxYW2bVft https://fdcdn.akamaized.net/m/780x1132/products/30001/30000503/images/res_50b8d24345503eb14ff6648c8aa91026.jpg?s=SXDlfykd5lSZ,olívazöld?tengerészkék,CA4868-VERNIL,Leírás Szín: olívazöld$ tengerészkék Stílus: hétköznapi$ irodai Anyag: viszkóz$ szintetikus szálak Minta: nincs Részletek: átlapolós Hossza: mini Nyakkivágás: átlapolt Ujjak típusa: ejtett Ujjak hossza: rövid Összetétel Anyag: 95% viszkóz$ 5% elasztán Termékszám CA4868-VERNIL
women,dress,dress,női,ruha,ruha,2679409,https://www.fashiondays.hu/v/2679409/n%C5%91i-/ruh%C3%A1zat?productSlug=v%C3%A9kony-farmerruha-n%C5%91i-banana-republic&tagId=1,https://www.fashiondays.hu/p/v%C3%A9kony-farmerruha-n%C5%91i-banana-republic-p2679409-1/,Vékony farmerruha,28699,80.36,Banana Republic,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/29800/29799163/images/res_4de5a12aa19100058ee4b931f1e2f599.jpg?s=N4Y3T3cvsNjy https://fdcdn.akamaized.net/m/780x1132/products/29800/29799163/images/res_d506267034be86fc38f3fe847687fb03.jpg?s=Q13GSRpvS-5X https://fdcdn.akamaized.net/m/780x1132/products/29800/29799163/images/res_cf79f66f76aa8a413997fd7ebcd4d0d8.jpg?s=5-Po6Vhk-8r2 https://fdcdn.akamaized.net/m/780x1132/products/29800/29799163/images/res_ced1c6f6645c46f669d30648d7cc004b.jpg?s=N2T4kDc5_-Gb https://fdcdn.akamaized.net/m/780x1132/products/29800/29799163/images/res_68c7136ff096960d88d713d546485479.jpg?s=7FI5grcHUCXg,levendulakék,000548112-156,Leírás Szín: levendulakék Stílus: hétköznapi Anyag: pamut Minta: nincs Fazon: szűkített Hossza: mini Nyakkivágás: lágy V-nyakkivágás Ujjak hossza: rövid Összetétel Anyag: 98% pamut$ 2% elasztán Modellinformáció A modell 4 (=S) méretű terméket visel$ amerikai méretezés szerint. Méretei: 180 cm$ mellbőség: 86 cm$ derékbőség: 65 cm$ csípő: 94 cm Termékszám 000548112-156
women,dress,dress,női,ruha,ruha,2685053,https://www.fashiondays.hu/v/2685053/n%C5%91i-/ruh%C3%A1zat?productSlug=lentartalm%C3%BA-miniruha-n%C5%91i-sense&tagId=1,https://www.fashiondays.hu/p/lentartalm%C3%BA-miniruha-n%C5%91i-sense-p2685053-1/,Lentartalmú miniruha,13299,37.24,Sense,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30001/30000492/images/res_41dde0c891ffeed89fab81bd5a260a8e.jpg?s=-4aq2nYKNqas https://fdcdn.akamaized.net/m/780x1132/products/30001/30000492/images/res_34832e146bf33e0b7f156ef261725ed3.jpg?s=DYVRrJL7aIyu https://fdcdn.akamaized.net/m/780x1132/products/30001/30000492/images/res_ef5eb74ee5a7833e2898833a5f3b7b64.jpg?s=GBd2nl3UPY7w,olívazöld,CA4851-VERDE,Leírás Szín: olívazöld Stílus: hétköznapi Anyag: viszkóz$ lenvászon Minta: nincs Szabás: A-vonalú Hossza: mini Nyakkivágás: kerek Ujjak hossza: rövid Részletek: díszgombok Összetétel Anyag: 75% viszkóz$ 25% len Termékszám CA4851-VERDE
women,dress,dress,női,ruha,ruha,2685028,https://www.fashiondays.hu/v/2685028/n%C5%91i-/ruh%C3%A1zat?productSlug=lentartalm%C3%BA-miniruha-n%C5%91i-sense&tagId=1,https://www.fashiondays.hu/p/lentartalm%C3%BA-miniruha-n%C5%91i-sense-p2685028-1/,Lentartalmú miniruha,13299,37.24,Sense,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30001/30000488/images/res_4fd9af579c1b48b817219724bffcd21f.jpg?s=bMASgIuU6xHS https://fdcdn.akamaized.net/m/780x1132/products/30001/30000485/images/res_517aa61f3929bfc16d67b7624185592b.jpg?s=Axv2pmUkRCAr https://fdcdn.akamaized.net/m/780x1132/products/30001/30000485/images/res_3c8af164b055eb274c599548c4c409cc.jpg?s=4PFewY33iDrW,narancssárga,CA4851-ORANGE,Leírás Szín: narancssárga Stílus: hétköznapi$ irodai Anyag: viszkóz$ lenvászon Minta: nincs Szabás: bővülő Hossza: mini Nyakkivágás: csónaknyak Ujjak hossza: rövid Részlet: díszgombok Rögzítés: cipzáros Összetétel Anyag: 75% viszkóz$ 25% len Termékszám CA4851-ORANGE
women,dress,dress,női,ruha,ruha,2684987,https://www.fashiondays.hu/v/2684987/n%C5%91i-/ruh%C3%A1zat?productSlug=csipkebet%C3%A9tes-b%C5%91v%C3%BCl%C5%91-fazon%C3%BA-miniruha-n%C5%91i-sense&tagId=1,https://www.fashiondays.hu/p/csipkebet%C3%A9tes-b%C5%91v%C3%BCl%C5%91-fazon%C3%BA-miniruha-n%C5%91i-sense-p2684987-1/,Csipkebetétes bővülő fazonú miniruha,16099,45.08,Sense,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30001/30000337/images/res_55869376631dc0ed0d8a607bfd063804.jpg?s=haqJMXpLgkmB https://fdcdn.akamaized.net/m/780x1132/products/30001/30000337/images/res_2601e42b8de8dc984a357dbfea0a7668.jpg?s=0fxOaepKf9Xo https://fdcdn.akamaized.net/m/780x1132/products/30001/30000337/images/res_58efec128e663145a54963c81e06bac5.jpg?s=synuKiCwcjJV,tengerészkék,CA5041-NAVY,Leírás Szín: tengerészkék Stílus: elegáns Anyag: szintetikus szálak Minta: nincs Szabás: bővülő Hossza: midi Nyakkivágás: csónaknyak Ujjak hossza: háromnegyedes Részletek: redőzés$ csipkebetétek Összetétel Anyag: 89% poliészter$ 11% elasztán Bélés: 100% viszkóz Termékszám CA5041-NAVY
