genderENG,classificationENG,subclassificationENG,genderHUN,classificationHUN,subclassificationHUN,productId,similarProductsLink,mainProductsLink,productName,priceHUF,priceEUR,brand,stockStatusENG,images,color,catalogId,productDetails
women,pants,jeans,női,nadrág,farmernadrág,2573145,https://www.fashiondays.hu/v/2573145/n%C5%91i-/ruh%C3%A1zat?productSlug=booster-magas-derek%C3%BA-farmernadr%C3%A1g-kontrasztos-t%C5%B1z%C3%A9sekkel-n%C5%91i-only&tagId=1,https://www.fashiondays.hu/p/booster-magas-derek%C3%BA-farmernadr%C3%A1g-kontrasztos-t%C5%B1z%C3%A9sekkel-n%C5%91i-only-p2573145-1/,Booster magas derekú farmernadrág kontrasztos tűzésekkel,9899,27.72,Only,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/28578/28577988/images/res_7bb366e5d6e115524355f8cce89bb1b8.jpg?s=Ih5daCLZoh7S https://fdcdn.akamaized.net/m/780x1132/products/28578/28577988/images/res_196e25965bafba56c7142556de698637.jpg?s=hIEokWOOeZy4 https://fdcdn.akamaized.net/m/780x1132/products/28578/28577988/images/res_08149d1be2f90c4de4f47378a91de2dd.jpg?s=oPgr_6PEhfRe https://fdcdn.akamaized.net/m/780x1132/products/28578/28577988/images/res_84299b5d5cfaf5371503b8db246c6f40.jpg?s=18BrmYrqwDcN https://fdcdn.akamaized.net/m/780x1132/products/28578/28577988/images/res_b5cc85c6f87838f22d5960e704d9d292.jpg?s=FOHGjDlmsrD- https://fdcdn.akamaized.net/m/780x1132/products/28578/28577988/images/res_f88b09ca6653fef5fed76be5c3560a82.jpg?s=qvukuVuN7epK,sötétkék,15205765-MEDIUM-BLUE-DENIM,Leírás Szín: sötétkék Minta: nincs Szabás: lefelé szűkülő Anyag: farmer Stílus: hétköznapi Derékrész: magas Hossz: hosszú Zsebek: 5 darab Részletek: kontrasztos tűzések Rögzítés: cipzáros és gombos Összetétel Anyag: 98% pamut$ 2% elasztán Modellinformáció A modell W27-L32 méretű terméket visel. Méretei: 180 cm$ mellbőség: 86 cm$ derékbőség: 65 cm$ csípő: 94 cm Termékszám 15205765-MEDIUM-BLUE-DENIM
women,pants,jeans,női,nadrág,farmernadrág,2579760,https://www.fashiondays.hu/v/2579760/n%C5%91i-/ruh%C3%A1zat?productSlug=veneda-mom-fit-farmernadr%C3%A1g-n%C5%91i-only&tagId=1,https://www.fashiondays.hu/p/veneda-mom-fit-farmernadr%C3%A1g-n%C5%91i-only-p2579760-1/,Veneda mom fit farmernadrág,9799,27.44,Only,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/28877/28876156/images/res_6b05bf7486ae1fd5f3edece6646a00ab.jpg?s=BONRZoh3wm23 https://fdcdn.akamaized.net/m/780x1132/products/28877/28876156/images/res_e35d2df24fd2eec2ca28f9baebe215f9.jpg?s=dPvUqEzkkvPq https://fdcdn.akamaized.net/m/780x1132/products/28877/28876156/images/res_0a7d63ffe813343584f4f714676d6387.jpg?s=Six36RQMHR30 https://fdcdn.akamaized.net/m/780x1132/products/28877/28876156/images/res_522a66c78117c3e99dfc43c1cf825623.jpg?s=Ka3eZXY0dUJD https://fdcdn.akamaized.net/m/780x1132/products/28877/28876156/images/res_88441016e392f4ffb4991c55ce4fda2f.jpg?s=YgA31ELWT4ER https://fdcdn.akamaized.net/m/780x1132/products/28877/28876156/images/res_0cd9ca01fb9b6818272fd5401917cdd4.jpg?s=cs4aQJYGxJqL https://fdcdn.akamaized.net/m/780x1132/products/28877/28876156/images/res_0a35a2842b737571ffdae1f953d7f49c.jpg?s=IQeta6kiAhPj,kék,15193864-LIGHT-BLUE-DENIM,Leírás Szín: kék Minta: nincs Fazon: mom fit Anyag: farmer Stílus: hétköznapi Derékrész: magas Hossza: crop Zsebek: 5 Rögzítés: cipzáros$ gombos Összetétel Anyag: 99% pamut$ 1% elasztán Modellinformáció A modell S-L32 méretű terméket visel. Méretei: 180 cm$ mellbőség: 86 cm$ derékbőség: 65 cm$ csípő: 94 cm Termékszám 15193864-LIGHT-BLUE-DENIM
women,pants,jeans,női,nadrág,farmernadrág,2544145,https://www.fashiondays.hu/v/2544145/n%C5%91i-/ruh%C3%A1zat?productSlug=lefel%C3%A9-sz%C5%B1k%C3%BCl%C5%91-mosott-hat%C3%A1s%C3%BA-farmernadr%C3%A1g-000554967-n%C5%91i-gap&tagId=1,https://www.fashiondays.hu/p/lefel%C3%A9-sz%C5%B1k%C3%BCl%C5%91-mosott-hat%C3%A1s%C3%BA-farmernadr%C3%A1g-000554967-n%C5%91i-gap-p2544145-1/,Lefelé szűkülő mosott hatású farmernadrág 000554967,10499,29.4,GAP,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/28494/28493687/images/res_91e692d8c79a32c058a4f847dfa52100.jpg?s=aQc0c2aErm4h https://fdcdn.akamaized.net/m/780x1132/products/28494/28493687/images/res_ef20736df4ea809cdffe9462e943ee28.jpg?s=KCKCHFtRgmng https://fdcdn.akamaized.net/m/780x1132/products/28494/28493687/images/res_1fd9763b533882c21ece2c7b49d22b89.jpg?s=B2uHWJVp8Prr https://fdcdn.akamaized.net/m/780x1132/products/28494/28493687/images/res_eb5f0795431e789bc7fa4dc6aea0f62b.jpg?s=bJXI-RXys-z7 https://fdcdn.akamaized.net/m/780x1132/products/28494/28493687/images/res_79edd8de89fd5b53791da75bca139ac0.jpg?s=KoUo9XrFx14I https://fdcdn.akamaized.net/m/780x1132/products/28494/28493687/images/res_1b9e01ba8a148cbc765e372f014dfdb7.jpg?s=Fubh_93n49l6,kék?fehér,000554967-408,Leírás Szín: kék$ fehér Minta: nincs Szabás: lefelé szűkülő Anyag: farmer Stílus: hétköznapi Derékrész: középmagas Hossz: háromnegyedes Zsebek: 5 Részletek: mosott hatás$ övbújtatók Rögzítés: cipzáros$ gombos Összetétel Anyag: 99% pamut$ 1% elasztán Modellinformáció A modell 27-es méretű terméket visel. Méretei: 177 cm$ mellbőség: 88 cm$ derékbőség: 72 cm$ csípő: 88 cm Termékszám 000554967-408
women,pants,jeans,női,nadrág,farmernadrág,2159878,https://www.fashiondays.hu/v/2159878/n%C5%91i-/ruh%C3%A1zat?productSlug=rain-skinny-fit-farmernadr%C3%A1g-kontrasztos-r%C3%A9szletekkel-n%C5%91i-only&tagId=1,https://www.fashiondays.hu/p/rain-skinny-fit-farmernadr%C3%A1g-kontrasztos-r%C3%A9szletekkel-n%C5%91i-only-p2159878-1/,Rain skinny fit farmernadrág kontrasztos részletekkel,5099,14.28,Only,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/24583/24582824/images/res_9b879c6c7b6369ad366b50244f72eb33.jpg?s=FWX0sz5jq9rn https://fdcdn.akamaized.net/m/780x1132/products/24583/24582824/images/res_4e8bbcfe5f35deaec8d68b46ec7f71e3.jpg?s=_geofm5AbvGn https://fdcdn.akamaized.net/m/780x1132/products/24583/24582824/images/res_4a4da2b19e98d6ad32bbb06851f3b07f.jpg?s=pye9de040FW4 https://fdcdn.akamaized.net/m/780x1132/products/24583/24582824/images/res_fb9a42594da86d437ff286f1f7aad84d.jpg?s=hxybODSBtncQ https://fdcdn.akamaized.net/m/780x1132/products/24583/24582824/images/res_7ff083fdaf970d33d9ab2a624ae86083.jpg?s=JtnG2lWOBlvv https://fdcdn.akamaized.net/m/780x1132/products/24583/24582824/images/res_2069f671a5cdb722db4125530f64bb19.jpg?s=cuVHQz6Ig1V3,kék,15188927-MEDIUM-BLUE-DENIM,Leírás Szín: kék Minta: nincs Fazon: skinny fit Anyag: farmer Stílus: hétköznapi Derékrész: középmagas Hossza: crop Zsebek: 2 dekoratív zseb az elején$ 2 farzseb$ egy aprópénztartó zseb az elején Részlet: rugalmas anyag$ kontrasztos részletek Rögzítés: gombos$ cipzáros Összetétel 53% viszkóz$ 29% pamut$ 17% poliészter$ 1% elasztán Modell információ A modell S-L32 méretű terméket visel. Méretei: magasság: 176 cm$ mellbőség: 86 cm$ derékbőség: 65 cm$ csípő: 90 cm Termékszám 15188927-MEDIUM-BLUE-DENIM
women,pants,jeans,női,nadrág,farmernadrág,2673255,https://www.fashiondays.hu/v/2673255/n%C5%91i-/ruh%C3%A1zat?productSlug=straight-fit-farmernadr%C3%A1g-k%C3%B6z%C3%A9pmagas-der%C3%A9kr%C3%A9sszel-n%C5%91i-marks-spencer&tagId=1,https://www.fashiondays.hu/p/straight-fit-farmernadr%C3%A1g-k%C3%B6z%C3%A9pmagas-der%C3%A9kr%C3%A9sszel-n%C5%91i-marks-spencer-p2673255-1/,Straight fit farmernadrág középmagas derékrésszel,26900,75.32,Marks & Spencer,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/29824/29823592/images/res_03001b61a319937ed9a8bcf97a36d53c.jpg?s=94ERbWpcJRNx https://fdcdn.akamaized.net/m/780x1132/products/29824/29823592/images/res_f5f7af29357baaefe8014944dc381f27.jpg?s=CSurS6-Lk0XR https://fdcdn.akamaized.net/m/780x1132/products/29824/29823592/images/res_379b31732338042e41e4847da36802d7.jpg?s=dODKvQJmcMN6 https://fdcdn.akamaized.net/m/780x1132/products/29824/29823592/images/res_ded1179c8d9fee189f712b90bf236f23.jpg?s=TNFSSZ5axokQ https://fdcdn.akamaized.net/m/780x1132/products/29824/29823592/images/res_f4de7e0082b5453e265c7961942ec55e.jpg?s=aE5ZJ1PlFdxN,bézs,T57-1723U-NM,Leírás Szín: bézs Minta: nincs Szabás: straight fit Anyag: pamut$ szintetikus szálak Stílus: hétköznapi Derékrész: középmagas Hossz: hosszú Zsebek: 5 Rögzítés: cipzáros és gombos Összetétel Anyag: 58% pamut$ 27% poliészter$ 13% viszkóz$ 2% elasztán Termékszám T57-1723U-NM
women,pants,jeans,női,nadrág,farmernadrág,2667450,https://www.fashiondays.hu/v/2667450/n%C5%91i-/ruh%C3%A1zat?productSlug=farmernadr%C3%A1g-szaggatott-r%C3%A9szletekkel-n%C5%91i-american-eagle&tagId=1,https://www.fashiondays.hu/p/farmernadr%C3%A1g-szaggatott-r%C3%A9szletekkel-n%C5%91i-american-eagle-p2667450-1/,Farmernadrág szaggatott részletekkel,12899,36.12,American Eagle,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/29357/29356735/images/res_290ef16addc441bc3143488c8a336fc7.jpg?s=_pZBI7Wai5Ua https://fdcdn.akamaized.net/m/780x1132/products/29357/29356735/images/res_237f492e8444fff2371b8804c3081a44.jpg?s=FJXEf6NH74pa https://fdcdn.akamaized.net/m/780x1132/products/29357/29356735/images/res_60f5d7f401b85f460a6a8a112416620a.jpg?s=gAwfZezzEcVM,kék?fehér,043-0431-2184-876,Leírás Szín: kék$ fehér Minta: nincs Fazon: szűk Anyag: farmer$ pamut Stílus: hétköznapi Derékrész: középmagas Hossz: hosszú Zsebek: 5 darab Részletek: mosott hatás$ szaggatott részletek Rögzítés: gombos Összetétel Anyag: 98% pamut$ 2% elasztán Termékszám 043-0431-2184-876
women,pants,jeans,női,nadrág,farmernadrág,2667423,https://www.fashiondays.hu/v/2667423/n%C5%91i-/ruh%C3%A1zat?productSlug=pamuttartalm%C3%BA-farmernadr%C3%A1g-n%C5%91i-american-eagle&tagId=1,https://www.fashiondays.hu/p/pamuttartalm%C3%BA-farmernadr%C3%A1g-n%C5%91i-american-eagle-p2667423-1/,Pamuttartalmú farmernadrág,16599,46.48,American Eagle,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/29357/29356709/images/res_4cf0874385837cad8d448beef3aa4911.jpg?s=66HdK1JtEhJ7 https://fdcdn.akamaized.net/m/780x1132/products/29357/29356709/images/res_d29ad31e20beb8b86e12fdafad060b31.jpg?s=rSkjbqaGP-hz https://fdcdn.akamaized.net/m/780x1132/products/29357/29356709/images/res_3232bcd504b6bea4a0f3221efbd7790b.jpg?s=mRKdGmwzXf4E https://fdcdn.akamaized.net/m/780x1132/products/29357/29356709/images/res_df1bc0e2277b93772e9e0f75f296eeab.jpg?s=SKqLM79wP2fj,fehér,043-0431-1283-117,Leírás Szín: fehér Minta: nincs Fazon: szűk Anyag: pamut Stílus: hétköznapi Derékrész: középmagas Hossza: crop Zsebek: 5 darab Részletek: övbújtatók Rögzítés: gombos Összetétel Anyag: 88% pamut$ 9% elasztomultiészter$ 3% elasztán Termékszám 043-0431-1283-117
women,pants,jeans,női,nadrág,farmernadrág,2667340,https://www.fashiondays.hu/v/2667340/n%C5%91i-/ruh%C3%A1zat?productSlug=farmernadr%C3%A1g-mosott-hat%C3%A1ssal-n%C5%91i-american-eagle&tagId=1,https://www.fashiondays.hu/p/farmernadr%C3%A1g-mosott-hat%C3%A1ssal-n%C5%91i-american-eagle-p2667340-1/,Farmernadrág mosott hatással,11999,33.6,American Eagle,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/29357/29356773/images/res_8e34eaf3c17f758b7e9ef2b3b1159429.jpg?s=D5_iZVqrmjTn https://fdcdn.akamaized.net/m/780x1132/products/29357/29356773/images/res_a46c475fe70e49f82af2a31ff0ae7eeb.jpg?s=9jvqPjB4OYAE https://fdcdn.akamaized.net/m/780x1132/products/29357/29356773/images/res_71c82c3910be26f2be4e128b1b34437a.jpg?s=dHitE7WhkTMb https://fdcdn.akamaized.net/m/780x1132/products/29357/29356773/images/res_f5177bb8294912cc054a77b35d98fb47.jpg?s=ogRYkvzzfByB,sötétkék?fehér,043-0433-1608-437,Leírás Szín: sötétkék$ fehér Minta: nincs Fazon: szűk Anyag: farmer$ pamut Stílus: hétköznapi Derékrész: középmagas Hossz: hosszú Zsebek: 5 darab Részletek: mosott hatás$ övbújtatók Rögzítés: gombos Összetétel Anyag: 90% pamut$ 8% poliészter$ 2% elasztán Termékszám 043-0433-1608-437
women,pants,jeans,női,nadrág,farmernadrág,2667370,https://www.fashiondays.hu/v/2667370/n%C5%91i-/ruh%C3%A1zat?productSlug=skinny-fit-farmernadr%C3%A1g-szaggatott-r%C3%A9szletekkel-n%C5%91i-american-eagle&tagId=1,https://www.fashiondays.hu/p/skinny-fit-farmernadr%C3%A1g-szaggatott-r%C3%A9szletekkel-n%C5%91i-american-eagle-p2667370-1/,Skinny fit farmernadrág szaggatott részletekkel,15299,42.84,American Eagle,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/29357/29356799/images/res_84e07bba1743189044c6dc20e8c1e97b.jpg?s=8eLJMo_-j8lJ https://fdcdn.akamaized.net/m/780x1132/products/29357/29356799/images/res_24dea9bcebdfd95de851d1dea50e02aa.jpg?s=WyAJTnW97WCc https://fdcdn.akamaized.net/m/780x1132/products/29357/29356799/images/res_d9130765d44bc5f8abea9a5b084c801a.jpg?s=bCoAIOsIcuK9 https://fdcdn.akamaized.net/m/780x1132/products/29357/29356799/images/res_66e97684c379eb7d89d47c11760ecf82.jpg?s=1gPKhuvmOSQ1,fekete?fehér,043-0433-2317-085,Leírás Szín: fekete$ fehér Minta: nincs Fazon: szűk Anyag: farmer Stílus: hétköznapi Derékrész: középmagas Hossza: crop Zsebek: 5 Rögzítés: cipzáros és gombos Összetétel Anyag: 66% pamut$ 22% poliészter$ 10% műselyem$ 2% lycra Termékszám 043-0433-2317-085
women,pants,jeans,női,nadrág,farmernadrág,2667307,https://www.fashiondays.hu/v/2667307/n%C5%91i-/ruh%C3%A1zat?productSlug=mosott-hat%C3%A1s%C3%BA-farmernadr%C3%A1g-n%C5%91i-american-eagle&tagId=1,https://www.fashiondays.hu/p/mosott-hat%C3%A1s%C3%BA-farmernadr%C3%A1g-n%C5%91i-american-eagle-p2667307-1/,Mosott hatású farmernadrág,15299,42.84,American Eagle,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/29357/29356748/images/res_c75dc6143f8ae29f859db7541b6a4226.jpg?s=Onc9Ehf2sAQr https://fdcdn.akamaized.net/m/780x1132/products/29357/29356748/images/res_4886ce70a9f7bee4657ba99aa89449ed.jpg?s=_8RgprSVLSDW https://fdcdn.akamaized.net/m/780x1132/products/29357/29356748/images/res_fa72724ed4a9cdf6920d35a8d9630baa.jpg?s=6DJoh5ZSZyPu https://fdcdn.akamaized.net/m/780x1132/products/29357/29356748/images/res_3a96502da18f3de9fd933e4dc8dc7966.jpg?s=jzv1ogjtpFU6,sötétkék?fehér,043-0431-2262-413,Leírás Szín: sötétkék$ fehér Minta: nincs Fazon: szűk Anyag: farmer$ pamut Stílus: hétköznapi Derékrész: középmagas Hossza: crop Zsebek: 5 darab Részletek: mosott hatású részletek Rögzítés: gombos Összetétel Anyag: 71% pamut$ 21% viszkóz$ 7% poliészter$ 1% elasztán Termékszám 043-0431-2262-413
