genderENG,classificationENG,subclassificationENG,genderHUN,classificationHUN,subclassificationHUN,productId,similarProductsLink,mainProductsLink,productName,priceHUF,priceEUR,brand,stockStatusENG,images,color,catalogId,productDetails
women,skirt,skirt,női,szoknya,szoknya,2685092,https://www.fashiondays.hu/v/2685092/n%C5%91i-/ruh%C3%A1zat?productSlug=egyenes-fazon%C3%BA-szoknya-d%C3%ADszgombokkal-n%C5%91i-sense&tagId=1,https://www.fashiondays.hu/p/egyenes-fazon%C3%BA-szoknya-d%C3%ADszgombokkal-n%C5%91i-sense-p2685092-1/,Egyenes fazonú szoknya díszgombokkal,4999,14,Sense,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30001/30000481/images/res_8018a28d141e479729beafa42ce9fe0b.jpg?s=r6KdA5uAVBrO https://fdcdn.akamaized.net/m/780x1132/products/30001/30000481/images/res_8f4f89e11fa654bc34ff8e1e22a32ab6.jpg?s=2H47a09DqlP3 https://fdcdn.akamaized.net/m/780x1132/products/30001/30000479/images/res_39726c28b15726371cc2ed128a97cf6f.jpg?s=Napg_UU6F6-4,mentazöld,CA4835-MENTA,Leírás Szín: mentazöld Stílus: hétköznapi$ irodai Minta: nincs Szabás: egyenes Anyag: szintetikus anyag$ pamut Derékrész: magas Hossza: mini Részletek: díszgombok$ hasíték a hátoldalán Rögzítés: cipzáros Összetétel Anyag: 62% pamut$ 33% poliészter$ 5% elasztán Bélés: 100% acetát Termékszám CA4835-MENTA
women,skirt,skirt,női,szoknya,szoknya,2684689,https://www.fashiondays.hu/v/2684689/n%C5%91i-/ruh%C3%A1zat?productSlug=magas-derek%C3%BA-egyenes-fazon%C3%BA-miniszoknya-n%C5%91i-sense&tagId=1,https://www.fashiondays.hu/p/magas-derek%C3%BA-egyenes-fazon%C3%BA-miniszoknya-n%C5%91i-sense-p2684689-1/,Magas derekú egyenes fazonú miniszoknya,7499,21,Sense,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30001/30000115/images/res_6b7d43924031bd2bc222e45406f5226f.jpg?s=XeivsvtySzhF https://fdcdn.akamaized.net/m/780x1132/products/30001/30000115/images/res_522377cae736cef5c963776028a83877.jpg?s=zQqMLIvI517l https://fdcdn.akamaized.net/m/780x1132/products/30001/30000115/images/res_3f48cb9ae38baea06a0bd2a631301435.jpg?s=ScQg5U4lMW1m,lila,CA4882-MOV,Leírás Szín: lila Stílus: hétköznapi Minta: nincs Szabás: egyenes Anyag: szintetikus anyag$ pamut Derékrész: magas Hossza: mini Részletek: gombok az oldalán Rögzítés: cipzáros Összetétel Anyag: 62% pamut$ 33% poliészter$ 5% elasztán Bélés: 100% acetát Termékszám CA4882-MOV
women,skirt,skirt,női,szoknya,szoknya,2684654,https://www.fashiondays.hu/v/2684654/n%C5%91i-/ruh%C3%A1zat?productSlug=magas-derek%C3%BA-egyenes-fazon%C3%BA-miniszoknya-n%C5%91i-sense&tagId=1,https://www.fashiondays.hu/p/magas-derek%C3%BA-egyenes-fazon%C3%BA-miniszoknya-n%C5%91i-sense-p2684654-1/,Magas derekú egyenes fazonú miniszoknya,7499,21,Sense,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30001/30000121/images/res_8bf99c3a5f505d7dafd9fe15518c3d02.jpg?s=x9EYyA28Wu_h https://fdcdn.akamaized.net/m/780x1132/products/30001/30000121/images/res_d23321be98a9d337017036c77942123e.jpg?s=Q6NN5K_iRTNP https://fdcdn.akamaized.net/m/780x1132/products/30001/30000121/images/res_543b2f3bdd8910f23c0164a6492ff1f2.jpg?s=W5UckUJjpkRG,fekete,CA4882-NEGRU,Leírás Szín: fekete Stílus: hétköznapi$ irodai Minta: nincs Szabás: egyenes Anyag: szintetikus anyag$ pamut Derékrész: magas Hossza: mini Rögzítés: cipzáros Összetétel Anyag: 62% pamut$ 33% poliészter$ 5% elasztán Bélés: 100% acetát Termékszám CA4882-NEGRU
women,skirt,skirt,női,szoknya,szoknya,2684640,https://www.fashiondays.hu/v/2684640/n%C5%91i-/ruh%C3%A1zat?productSlug=magas-derek%C3%BA-egyenes-fazon%C3%BA-miniszoknya-n%C5%91i-sense&tagId=1,https://www.fashiondays.hu/p/magas-derek%C3%BA-egyenes-fazon%C3%BA-miniszoknya-n%C5%91i-sense-p2684640-1/,Magas derekú egyenes fazonú miniszoknya,7499,21,Sense,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30001/30000127/images/res_a39e4db82e32255751d77dbb61d6cb43.jpg?s=h_DrbU1EHn-3 https://fdcdn.akamaized.net/m/780x1132/products/30001/30000127/images/res_6dece9a643c02e19a0c210e4ecd37000.jpg?s=P-toEwzrmayy https://fdcdn.akamaized.net/m/780x1132/products/30001/30000127/images/res_cbc47381a0bbae507c6eb33b27512cd5.jpg?s=kXGBOC0dbzcc,lazacszín,CA4882-SOMON,Leírás Szín: lazacszín Stílus: hétköznapi$ irodai Minta: nincs Szabás: egyenes Anyag: szintetikus anyag$ pamut Derékrész: magas Hossza: mini Részletek: gombok az oldalán Rögzítés: cipzáros Összetétel Anyag: 62% pamut$ 33% poliészter$ 5% elasztán Bélés: 100% acetát Termékszám CA4882-SOMON
women,skirt,skirt,női,szoknya,szoknya,2684917,https://www.fashiondays.hu/v/2684917/n%C5%91i-/ruh%C3%A1zat?productSlug=mini-ceruzaszoknya-n%C5%91i-sense&tagId=1,https://www.fashiondays.hu/p/mini-ceruzaszoknya-n%C5%91i-sense-p2684917-1/,Mini ceruzaszoknya,8299,23.24,Sense,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30001/30000026/images/res_48458a02bd59b33abbad21bbb93ff1d5.jpg?s=q9IYPQsQRVLC https://fdcdn.akamaized.net/m/780x1132/products/30001/30000026/images/res_b68c043705c445a2efc7eea7c506375d.jpg?s=bHu3UYIkfWKO https://fdcdn.akamaized.net/m/780x1132/products/30001/30000026/images/res_c288477ae92cf6938147ea4a4ed2c2f5.jpg?s=5NrKcyBtd-UI,fukszia,CA4735-CICLAM,Leírás Szín: fukszia Stílus: hétköznapi$ irodai Minta: nincs Fazon: ceruza Anyag: pamut$ szintetikus szálak Derékrész: középmagas Hossza: mini Összetétel Anyag: 64% pamut$ 34% poliészter$ 2% elasztán Termékszám CA4735-CICLAM
women,skirt,skirt,női,szoknya,szoknya,2684716,https://www.fashiondays.hu/v/2684716/n%C5%91i-/ruh%C3%A1zat?productSlug=mini-ceruzaszoknya-tweed-hat%C3%A1ssal-n%C5%91i-sense&tagId=1,https://www.fashiondays.hu/p/mini-ceruzaszoknya-tweed-hat%C3%A1ssal-n%C5%91i-sense-p2684716-1/,Mini ceruzaszoknya tweed hatással,8499,23.8,Sense,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30001/30000290/images/res_f96003d435373497df713849edca9992.jpg?s=I64G5qDH2828 https://fdcdn.akamaized.net/m/780x1132/products/30001/30000290/images/res_45cb9b0c142ca0f0a7360136692d334c.jpg?s=Mhtb5j09Z2Uq https://fdcdn.akamaized.net/m/780x1132/products/30001/30000292/images/res_243966f6a7071585693893a0594691d5.jpg?s=hqS_YIbB_VAo,zöld?sárga,CA5026-VERDE,Leírás Szín: zöld$ sárga Stílus: hétköznapi$ irodai Minta: nincs Fazon: ceruza Anyag: szintetikus Derékrész: középmagas Hossza: mini Részletek: tweed hatás Rögzítés: cipzáros Összetétel Anyag: 75% poliészter$ 24% akril$ 1% elasztán Bélés: 100% acetát Termékszám CA5026-VERDE
women,skirt,skirt,női,szoknya,szoknya,2684696,https://www.fashiondays.hu/v/2684696/n%C5%91i-/ruh%C3%A1zat?productSlug=mini-ceruzaszoknya-tweed-hat%C3%A1ssal-n%C5%91i-sense&tagId=1,https://www.fashiondays.hu/p/mini-ceruzaszoknya-tweed-hat%C3%A1ssal-n%C5%91i-sense-p2684696-1/,Mini ceruzaszoknya tweed hatással,8499,23.8,Sense,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30001/30000284/images/res_f7d02234124f6ca99e8b824012050132.jpg?s=asDNPe12BkZE https://fdcdn.akamaized.net/m/780x1132/products/30001/30000284/images/res_8e542f1b326cf802005368f1cdb8ad72.jpg?s=iTuv5WET1mXD https://fdcdn.akamaized.net/m/780x1132/products/30001/30000284/images/res_a7c86331cbb8743426fb8a58c79173d4.jpg?s=HVivGcro5-KI,többszínű,CA5026-GRENA,Leírás Szín: többszínű Stílus: hétköznapi$ irodai Minta: nincs Fazon: ceruza Anyag: szintetikus Derékrész: középmagas Hossza: mini Részletek: tweed hatás Rögzítés: cipzáros Összetétel Anyag: 75% poliészter$ 24% akril$ 1% elasztán Bélés: 100% acetát Termékszám CA5026-GRENA
women,skirt,skirt,női,szoknya,szoknya,2684668,https://www.fashiondays.hu/v/2684668/n%C5%91i-/ruh%C3%A1zat?productSlug=szoknya-has%C3%ADt%C3%A9kkal-a-h%C3%A1toldal%C3%A1n-n%C5%91i-sense&tagId=1,https://www.fashiondays.hu/p/szoknya-has%C3%ADt%C3%A9kkal-a-h%C3%A1toldal%C3%A1n-n%C5%91i-sense-p2684668-1/,Szoknya hasítékkal a hátoldalán,8299,23.24,Sense,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30001/30000197/images/res_b16e28c3f9152b79b1d067e2b7342ba9.jpg?s=JTb2qPPDeelE https://fdcdn.akamaized.net/m/780x1132/products/30001/30000197/images/res_eeeb01e6088210ab85f2f86856ac49b9.jpg?s=PSkUYhGwkdDm https://fdcdn.akamaized.net/m/780x1132/products/30001/30000197/images/res_e8274c80a3ac6e25525220ad12c2a688.jpg?s=OMl3RAuTV8MJ,sötétkék,CA4958-ALBASTRU,Leírás Szín: sötétkék Stílus: hétköznapi Minta: nincs Szabás: egyenes Anyag: viszkóz$ szintetikus szálak Derékrész: középmagas Hossza: midi Zsebek: egy zseb az oldalán Részletek: hasíték a hátoldalán Rögzítés: cipzáros Összetétel Anyag: 60% viszkóz$ 5% elasztán$ 35% poliamid Bélés: 100% acetát Termékszám CA4958-ALBASTRU
women,skirt,skirt,női,szoknya,szoknya,2685824,https://www.fashiondays.hu/v/2685824/n%C5%91i-/ruh%C3%A1zat?productSlug=empire-b%C5%91v%C3%BCl%C5%91-fazon%C3%BA-cs%C3%ADkos-ing-n%C5%91i-mango&tagId=1,https://www.fashiondays.hu/p/empire-b%C5%91v%C3%BCl%C5%91-fazon%C3%BA-cs%C3%ADkos-ing-n%C5%91i-mango-p2685824-1/,Empire bővülő fazonú csíkos ing,9999,28,Mango,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30051/30050459/images/res_583206ab8b4b92d42a90c9b40b07bf5e.jpg?s=n8Xo1e3KXt2G https://fdcdn.akamaized.net/m/780x1132/products/30051/30050459/images/res_1d01814ef6c6078ae39d3e6f611d13f5.jpg?s=R-bxH2HfEcdC https://fdcdn.akamaized.net/m/780x1132/products/30051/30050459/images/res_504e7aac8890e029345cf8466ccefcfa.jpg?s=S-0Qh_rhdYfZ https://fdcdn.akamaized.net/m/780x1132/products/30051/30050459/images/res_181cfddfa6f64899007e6ca6fbca7321.jpg?s=L-gYIcuKRn5A,fekete?sárga?púderlila,67084421-85,Leírás Szín: fekete$ sárga$ púderlila Stílus: hétköznapi Minta: csíkos Szabás: bővülő Anyag: szintetikus szálak Derékrész: középmagas Hossza: midi Részletek: masni a derékrészen$ lágy esésű anyag Rögzítés: cipzáros Összetétel Anyag: 100% poliészter Bélés: 100% poliészter Masni: 100% poliészter Termékszám 67084421-85
women,skirt,skirt,női,szoknya,szoknya,2684750,https://www.fashiondays.hu/v/2684750/n%C5%91i-/ruh%C3%A1zat?productSlug=pettyes-ceruzaszoknya-n%C5%91i-sense&tagId=1,https://www.fashiondays.hu/p/pettyes-ceruzaszoknya-n%C5%91i-sense-p2684750-1/,Pettyes ceruzaszoknya,8099,22.68,Sense,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30001/30000308/images/res_6e06fb2c368ce905db94da4567c5bb5e.jpg?s=44K2ifTdcSwp https://fdcdn.akamaized.net/m/780x1132/products/30001/30000308/images/res_17ebee26ab473e67967baf338de8a0e5.jpg?s=swPcU3744JTs https://fdcdn.akamaized.net/m/780x1132/products/30001/30000308/images/res_f21bb69c2fb7750ffe304258d29cd91f.jpg?s=vuWP8cYcvZFo,tengerészkék,CA5036-NAVY,Leírás Szín: tengerészkék Stílus: irodai Minta: pöttyös Fazon: ceruza Anyag: szintetikus anyag$ viszkóz Derékrész: középmagas Hossza: mini Rögzítés: cipzáros Összetétel Anyag: 74% viszkóz$ 22% poliamid$ 4% elasztán Bélés: 95% poliészter$ 5% elasztán Termékszám CA5036-NAVY
