genderENG,classificationENG,subclassificationENG,genderHUN,classificationHUN,subclassificationHUN,productId,similarProductsLink,mainProductsLink,productName,priceHUF,priceEUR,brand,stockStatusENG,images,color,catalogId,productDetails
women,top,t-shirt,női,felső,póló,2573501,https://www.fashiondays.hu/v/2573501/n%C5%91i-/ruh%C3%A1zat?productSlug=vertical-norm%C3%A1l-fazon%C3%BA-top-n%C5%91i-adidas-performance&tagId=1,https://www.fashiondays.hu/p/vertical-norm%C3%A1l-fazon%C3%BA-top-n%C5%91i-adidas-performance-p2573501-1/,Vertical normál fazonú top,8299,23.24,adidas Performance,limited_quantity,https://fdcdn.akamaized.net/m/780x1132/products/27800/27799948/images/res_db5ae383c90d7f28fbc93cede672a5b1.jpg?s=H_YcbKj0FAzY https://fdcdn.akamaized.net/m/780x1132/products/27800/27799947/images/res_c22281db3ab6fb1327f1d22d00461e00.jpg?s=YUwGHKddKYvV https://fdcdn.akamaized.net/m/780x1132/products/27800/27799945/images/res_568d0bfac8a340d0b393374abad72afc.jpg?s=E4hSkhQbvpfz https://fdcdn.akamaized.net/m/780x1132/products/27800/27799945/images/res_f2365639e9b17423e1f26a2980ce44bb.jpg?s=TypFsSvKrvwX https://fdcdn.akamaized.net/m/780x1132/products/27800/27799944/images/res_eeac7be440657b08f83ae71b8e18aaeb.jpg?s=HDRN1F6wF0Rb,fekete,FM6165,Leírás Szín: fekete Minta: logós Anyag: pamut Fazon: normál Stílus: hétköznapi Nyakkivágás: kerek Ujjak hossza: ujjatlan Részletek: sportos kialakítású hátrész$ puha anyag Kollekció: adidas Sport Inspired Összetétel 100% pamut Termékszám FM6165
women,top,t-shirt,női,felső,póló,2676465,https://www.fashiondays.hu/v/2676465/n%C5%91i-/ruh%C3%A1zat?productSlug=p%C3%B3l%C3%B3-kontrasztos-log%C3%B3mint%C3%A1val-n%C5%91i-champion&tagId=1,https://www.fashiondays.hu/p/p%C3%B3l%C3%B3-kontrasztos-log%C3%B3mint%C3%A1val-n%C5%91i-champion-p2676465-1/,Póló kontrasztos logómintával,2999,8.4,Champion,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30000/29999109/images/res_77b6fe4372ef6e714d0b7deca2139a0d.jpg?s=vJVu0zNSb9FK https://fdcdn.akamaized.net/m/780x1132/products/30000/29999109/images/res_defbc3f1474d68f9a2dc837673cd28f1.jpg?s=NN4AxvCFpOp6 https://fdcdn.akamaized.net/m/780x1132/products/30000/29999109/images/res_8859c4ba6b2a16840696bf0453c34730.jpg?s=tOYoGxL-j-wf,fehér,113698-WW001,Leírás Szín: fehér Minta: logós Anyag: pamut Fazon: normál Stílus: hétköznapi Nyakkivágás: lágy V alakú Ujjak hossza: rövid Összetétel Anyag: 100% pamut Termékszám 113698-WW001
women,top,t-shirt,női,felső,póló,2676499,https://www.fashiondays.hu/v/2676499/n%C5%91i-/ruh%C3%A1zat?productSlug=log%C3%B3s-p%C3%B3l%C3%B3-n%C5%91i-champion&tagId=1,https://www.fashiondays.hu/p/log%C3%B3s-p%C3%B3l%C3%B3-n%C5%91i-champion-p2676499-1/,Logós póló,2999,8.4,Champion,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30000/29999074/images/res_e34b123eaf117af0f8170348bd000a9f.jpg?s=Zg36JqLr9dmE https://fdcdn.akamaized.net/m/780x1132/products/30000/29999074/images/res_aa22756b38ae9727b08796e879047f86.jpg?s=o8ZnD-wCPNJw https://fdcdn.akamaized.net/m/780x1132/products/30000/29999074/images/res_e8765d7b50c898b0e6de74033ed01b6d.jpg?s=ux7Pxd57ephk,fekete,113696-KK001,Leírás Szín: fekete Minta: logós Anyag: pamut Szabás: szűk Stílus: hétköznapi Nyakkivágás: kerek Ujjak hossza: rövid Részletek: hologramos logó Összetétel Anyag: 100% pamut Termékszám 113696-KK001
women,top,t-shirt,női,felső,póló,2676541,https://www.fashiondays.hu/v/2676541/n%C5%91i-/ruh%C3%A1zat?productSlug=log%C3%B3s-p%C3%B3l%C3%B3-n%C5%91i-champion&tagId=1,https://www.fashiondays.hu/p/log%C3%B3s-p%C3%B3l%C3%B3-n%C5%91i-champion-p2676541-1/,Logós póló,2999,8.4,Champion,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30000/29999084/images/res_b98399b12328a87e0eddc4cd604c9ee3.jpg?s=5FDzCDh8AGfl https://fdcdn.akamaized.net/m/780x1132/products/30000/29999084/images/res_fbc9c5727d0ea1cbea50f407feac6df1.jpg?s=VTS1OTSBdvuR https://fdcdn.akamaized.net/m/780x1132/products/30000/29999084/images/res_e7ee75990a3a262b620641bd418f8748.jpg?s=YnSH5SyZKR0c,lazacszín,113696-RS011,Leírás Szín: lazacszín Minta: logós Anyag: pamut Fazon: normál Stílus: hétköznapi Nyakkivágás: kerek Ujjak hossza: rövid Összetétel Anyag: 100% pamut Termékszám 113696-RS011
women,top,t-shirt,női,felső,póló,2676529,https://www.fashiondays.hu/v/2676529/n%C5%91i-/ruh%C3%A1zat?productSlug=log%C3%B3s-p%C3%B3l%C3%B3-n%C5%91i-champion&tagId=1,https://www.fashiondays.hu/p/log%C3%B3s-p%C3%B3l%C3%B3-n%C5%91i-champion-p2676529-1/,Logós póló,2999,8.4,Champion,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30000/29999090/images/res_5ce64d777ae9947e8ae923487c64c1e1.jpg?s=7ahi8X334c4r https://fdcdn.akamaized.net/m/780x1132/products/30000/29999090/images/res_cbc1ab6e2f894d1c6006b7fc5e30ae92.jpg?s=Rnlz54X7dS9N https://fdcdn.akamaized.net/m/780x1132/products/30000/29999089/images/res_c3c46a47f105adcf9fd715d3144493da.jpg?s=G_0KesvUvnWO,fehér,113696-WW001,Leírás Szín: fehér Minta: logós Anyag: pamut Fazon: normál Stílus: hétköznapi Nyakkivágás: kerek Ujjak hossza: rövid Összetétel Anyag: 100% pamut Termékszám 113696-WW001
women,top,t-shirt,női,felső,póló,2676535,https://www.fashiondays.hu/v/2676535/n%C5%91i-/ruh%C3%A1zat?productSlug=kerek-nyak%C3%BA-p%C3%B3l%C3%B3-log%C3%B3val-n%C5%91i-champion&tagId=1,https://www.fashiondays.hu/p/kerek-nyak%C3%BA-p%C3%B3l%C3%B3-log%C3%B3val-n%C5%91i-champion-p2676535-1/,Kerek nyakú póló logóval,2999,8.4,Champion,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30000/29999119/images/res_b81f6baf862a426afe37b4e743fdf6a0.jpg?s=4eHhOd5rdqW7 https://fdcdn.akamaized.net/m/780x1132/products/30000/29999119/images/res_732e5bf541160bea271122a8b826efbd.jpg?s=wSTyzSzN-zFm https://fdcdn.akamaized.net/m/780x1132/products/30000/29999119/images/res_f2cf648912efe59c6bb116bd1f87b1d7.jpg?s=SEvPUiZA170L,fehér,113699-WW001,Leírás Szín: fehér Minta: egyszínű$ logós Anyag: pamut Fazon: normál Stílus: hétköznapi Nyakkivágás: kerek Ujjak hossza: rövid Összetétel Anyag: 100% pamut Termékszám 113699-WW001
women,top,t-shirt,női,felső,póló,2676483,https://www.fashiondays.hu/v/2676483/n%C5%91i-/ruh%C3%A1zat?productSlug=p%C3%B3l%C3%B3-kontrasztos-log%C3%B3mint%C3%A1val-n%C5%91i-champion&tagId=1,https://www.fashiondays.hu/p/p%C3%B3l%C3%B3-kontrasztos-log%C3%B3mint%C3%A1val-n%C5%91i-champion-p2676483-1/,Póló kontrasztos logómintával,2999,8.4,Champion,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30000/29999104/images/res_8030c66d582ea2802485210a012fe8bb.jpg?s=T9nHhBbr_14j https://fdcdn.akamaized.net/m/780x1132/products/30000/29999104/images/res_83cf453d0858a6d2692775d77db1524f.jpg?s=8WrfeEwRfG8n https://fdcdn.akamaized.net/m/780x1132/products/30000/29999104/images/res_28c79249f286da431870d3bf61d90186.jpg?s=dJQkU2yBVlou,lazacszín,113698-RS011,Leírás Szín: lazacszín Minta: logós Anyag: pamut Fazon: normál Stílus: hétköznapi Nyakkivágás: lágy V alakú Ujjak hossza: rövid Összetétel Anyag: 100% pamut Termékszám 113698-RS011
women,top,t-shirt,női,felső,póló,2684943,https://www.fashiondays.hu/v/2684943/n%C5%91i-/ruh%C3%A1zat?productSlug=top-n%C5%91i-sense&tagId=1,https://www.fashiondays.hu/p/top-n%C5%91i-sense-p2684943-1/,Top,2399,6.72,Sense,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30001/30000469/images/res_e4193cab8d027edfffef71683b4881aa.jpg?s=EJam7I42q9Km https://fdcdn.akamaized.net/m/780x1132/products/30001/30000469/images/res_fe5a171b445cc9adb9f7c15ab8794270.jpg?s=6aqt7ba7Owy_ https://fdcdn.akamaized.net/m/780x1132/products/30001/30000469/images/res_4c08f1a8074d6aba2592ca9b43850ced.jpg?s=sleetW4gWU5a,zöld,CA4788-VERDE,Leírás Típus: top Szín: zöld Minta: nincs Anyag: viszkóz Fazon: normál Stílus: hétköznapi Nyakkivágás: kerek Ujjak hossza: ujjatlan Összetétel Anyag: 95% viszkóz$ 5% elasztán Termékszám CA4788-VERDE
women,top,t-shirt,női,felső,póló,2684897,https://www.fashiondays.hu/v/2684897/n%C5%91i-/ruh%C3%A1zat?productSlug=top-n%C5%91i-sense&tagId=1,https://www.fashiondays.hu/p/top-n%C5%91i-sense-p2684897-1/,Top,2399,6.72,Sense,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30001/30000464/images/res_1479b68cc803dc12fe7bce06e8ac7f01.jpg?s=1pDf4vJ5eqyM https://fdcdn.akamaized.net/m/780x1132/products/30001/30000464/images/res_8badc1650cf0052e3e22284b59ee6927.jpg?s=7G-DjZluNh3d https://fdcdn.akamaized.net/m/780x1132/products/30001/30000464/images/res_f5374cb9c2373eacffc79c84cc03c633.jpg?s=cz2rbpu0z-R2,kék,CA4788-ALBASTRU,Leírás Típus: top Szín: kék Minta: nincs Anyag: viszkóz Fazon: normál Stílus: hétköznapi Nyakkivágás: kerek Ujjak hossza: ujjatlan Összetétel Anyag: 95% viszkóz$ 5% elasztán Termékszám CA4788-ALBASTRU
women,top,t-shirt,női,felső,póló,2676523,https://www.fashiondays.hu/v/2676523/n%C5%91i-/ruh%C3%A1zat?productSlug=log%C3%B3s-p%C3%B3l%C3%B3-n%C5%91i-champion&tagId=1,https://www.fashiondays.hu/p/log%C3%B3s-p%C3%B3l%C3%B3-n%C5%91i-champion-p2676523-1/,Logós póló,2999,8.4,Champion,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30000/29999069/images/res_3238f4f9b6f1f9a1576a2fc6d7338ff0.jpg?s=WL9b9PqsuOZa https://fdcdn.akamaized.net/m/780x1132/products/30000/29999069/images/res_d6e9e6afa846afed7d129725c9182fd5.jpg?s=XUH91Fyk2_9A https://fdcdn.akamaized.net/m/780x1132/products/30000/29999069/images/res_186e910870c9549579ee7e168b2a7494.jpg?s=f9KYTo9_6vz_,tengerészkék,113696-BS501,Leírás Szín: tengerészkék Minta: logós Anyag: pamut Szabás: szűk Stílus: hétköznapi Nyakkivágás: kerek Ujjak hossza: rövid Részletek: hologramos logó Összetétel Anyag: 90% pamut$ 10% viszkóz Termékszám 113696-BS501
